Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:17:18,01-02-2024 13:17:19,1.589s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/div_input-group-addon""))",Chrome 121.0.0.0,,,01-02-2024 13:17:19,01-02-2024 13:17:20,0.614s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/td_30""))",Chrome 121.0.0.0,,,01-02-2024 13:17:20,01-02-2024 13:17:20,0.495s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/td_9""))",Chrome 121.0.0.0,,,01-02-2024 13:17:20,01-02-2024 13:17:21,0.554s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/textarea_comment""), ""Book Appointment on the date 09/01/2024"")",Chrome 121.0.0.0,,,01-02-2024 13:17:21,01-02-2024 13:17:22,0.944s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:17:22,01-02-2024 13:17:23,0.802s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 121.0.0.0,,,01-02-2024 13:17:23,01-02-2024 13:17:24,0.933s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/a_Make Appointment_1""))",Chrome 121.0.0.0,,,01-02-2024 13:17:24,01-02-2024 13:17:24,0.460s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/div_input-group-addon""))",Chrome 121.0.0.0,,,01-02-2024 13:17:24,01-02-2024 13:17:25,0.459s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_02_OR/Page_CURA Healthcare Service/td_30""))",Chrome 121.0.0.0,,,01-02-2024 13:17:25,01-02-2024 13:17:56,31.451s,FAILED
,,,,,,,
Test Cases/TC_CURA_Make_Appointments/TC_CURA_Make_Appointment_03,Chrome 121.0.0.0,,,01-02-2024 13:17:56,01-02-2024 13:18:06,10.164s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,01-02-2024 13:17:56,01-02-2024 13:17:57,1.130s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,01-02-2024 13:17:57,01-02-2024 13:18:00,2.706s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_03_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:18:00,01-02-2024 13:18:01,0.753s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Make_Appointment_03_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,01-02-2024 13:18:01,01-02-2024 13:18:02,0.942s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC_CURA_Make_Appointment_03_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,01-02-2024 13:18:02,01-02-2024 13:18:02,0.596s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_03_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:18:02,01-02-2024 13:18:03,0.985s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_03_OR/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 121.0.0.0,,,01-02-2024 13:18:03,01-02-2024 13:18:04,0.487s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_03_OR/Page_CURA Healthcare Service/td_30""))",Chrome 121.0.0.0,,,01-02-2024 13:18:04,01-02-2024 13:18:04,0.497s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Make_Appointment_03_OR/Page_CURA Healthcare Service/td_9""))",Chrome 121.0.0.0,,,01-02-2024 13:18:04,01-02-2024 13:18:05,0.583s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Make_Appointment_03_OR/Page_CURA Healthcare Service/textarea_comment""), ""Book Appointment on the date 09/01/2024"")",Chrome 121.0.0.0,,,01-02-2024 13:18:05,01-02-2024 13:18:06,1.145s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,01-02-2024 13:18:06,01-02-2024 13:18:06,0.248s,PASSED
,,,,,,,
Test Cases/TC_CURA_Logins/TC_CURA_Login_01,Chrome 121.0.0.0,,,01-02-2024 13:18:06,01-02-2024 13:18:15,8.503s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,01-02-2024 13:18:06,01-02-2024 13:18:07,0.746s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,01-02-2024 13:18:07,01-02-2024 13:18:10,2.700s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:18:10,01-02-2024 13:18:11,0.815s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/body_CURA Healthcare                       _fb9a78""))",Chrome 121.0.0.0,,,01-02-2024 13:18:11,01-02-2024 13:18:11,0.510s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/input_username""))",Chrome 121.0.0.0,,,01-02-2024 13:18:11,01-02-2024 13:18:11,0.420s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/body_CURA Healthcare                       _fb9a78_1""))",Chrome 121.0.0.0,,,01-02-2024 13:18:11,01-02-2024 13:18:12,0.349s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,01-02-2024 13:18:12,01-02-2024 13:18:13,0.887s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,01-02-2024 13:18:13,01-02-2024 13:18:13,0.669s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:18:13,01-02-2024 13:18:14,0.928s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,01-02-2024 13:18:14,01-02-2024 13:18:15,0.409s,PASSED
